;2017;2018;2019;2020;2021
01 Reiselivsprodukter i alt;114 247;120 195;126 290;64 562;..
01.01 Overnattingstjenester;18 166;18 850;20 295;13 223;..
01.02 Serveringstjenester;22 921;24 587;25 867;20 725;..
01.03 Transport med jernbane;3 402;3 609;3 675;1 063;..
01.04 Transport med buss og drosje;4 990;5 280;5 278;2 495;..
01.05 Transport med skip og ferger;9 620;10 414;11 157;3 700;..
01.06 Transport med fly;30 212;31 419;34 138;12 829;..
01.07 Utleie av transportmidler;687;727;755;448;..
01.08 Reisebyrå- og reisearrangørtjenester;19 582;20 201;19 780;6 922;..
01.09 Kultur- og underholdningstjenester;2 017;2 159;2 319;706;..
01.10 Sports- og fritidstjenester;2 650;2 949;3 026;2 451;..
02 Turistkonsum utenom reiselivsprodukter;62 059;66 093;68 040;65 188;..
0 Turistkonsum i alt;176 306;186 288;194 330;129 750;..
